County,Geo_id,Census_pop,N_tweets
Hoonah-Angoon Census Area,02105,2150,3
Terrell County,48443,984,15
Wrangell City and Borough,02275,2369,4
Boyd County,31015,2099,25
Garfield County,53023,2266,61
Yakutat City and Borough,02282,662,13
McPherson County,46089,2459,56
Piute County,49031,1556,5
Custer County,08027,4255,19
Meagher County,30059,1891,14
Carter County,30011,1160,6
Crowley County,08025,5823,6
Loup County,31115,632,4
Wheeler County,41069,1441,9
Webster County,31181,3812,54
Harding County,35021,695,5
Wayne County,19185,6403,46
Blaine County,31009,478,47
McCone County,30055,1734,10
Prairie County,30079,1179,6
Haakon County,46055,1937,59
Ketchikan Gateway Borough,02130,13477,45
Thomas County,31171,647,33
Hooker County,31091,736,29
Forest County,55041,9304,136
Mercer County,34021,366513,65619
Sherman County,41055,1765,147
Perkins County,31135,2970,66
Stonewall County,48433,1490,10
Garden County,31069,2057,32
Van Buren County,47175,5548,77
Eureka County,32011,1987,46
Baker County,13007,3451,38
Wibaux County,30109,1017,13
Dickens County,48125,2444,25
Mineral County,30061,4223,43
Harding County,46063,1255,13
Dolores County,08033,2064,19
Woodruff County,05147,7260,146
Logan County,38047,1990,6
Catron County,35003,3725,28
Loving County,48301,82,2
Hemphill County,48211,3807,147
Garfield County,31071,2049,45
Bent County,08011,6499,80
Boise County,16015,7028,39
Butler County,20015,65880,12955
Greeley County,31077,2538,40
Lincoln County,16063,5208,10
Decatur County,20039,2961,33
Dukes County,25007,16535,1826
McPherson County,31117,539,4
Sanborn County,46111,2355,59
Arthur County,31005,460,4
Siskiyou County,06093,44900,2503
Ashtabula County,39007,101497,33738
Jewell County,20089,3077,511
Wheeler County,48483,5410,210
Campbell County,46021,1466,13
Mineral County,08079,712,11
Rich County,49033,2264,64
Anderson County,48001,58458,5674
Nance County,31125,3735,64
Hamlin County,46057,5903,345
Grant County,38037,2394,47
Wright County,29229,18815,170
Roane County,54087,14926,240
Quitman County,13239,2513,97
Harper County,20077,6034,217
Crisp County,13081,23439,2090
Saguache County,08109,6108,29
Sweet Grass County,30097,3651,32
Grant County,46051,7356,141
Keweenaw County,26083,2156,54
Johnson County,47091,18244,324
Butte County,16023,2891,14
Roberts County,48393,929,26
Kinney County,48271,3598,101
Scotland County,29199,4843,47
Hyde County,46069,1420,68
Prairie County,05117,8715,399
Kiowa County,40075,9446,196
Calhoun County,13037,6694,442
Cochran County,48079,3127,28
Rock County,31149,1526,18
Chesterfield County,45025,46734,4432
San Benito County,06069,55269,9779
Crawford County,18025,10713,250
Baker County,41001,16134,185
Jackson County,08057,1394,11
Mason County,48319,4012,128
Broadwater County,30007,5612,45
Caribou County,16029,6963,140
Boundary County,16021,10972,92
Kearney County,31099,6489,225
Sherman County,48421,3034,109
Howard County,19089,9566,238
Maricopa County,04013,3817117,550400
St. Clair County,01115,83593,7252
Phillips County,08095,4442,65
Braxton County,54007,14523,1074
Roosevelt County,30085,10425,307
Grant County,40053,4527,153
Dade County,29057,7883,46
Potter County,42105,17457,418
Sheridan County,30091,3384,27
Mellette County,46095,2048,64
Jefferson County,13163,16930,1500
Clarke County,19039,9286,443
Hot Springs County,56017,4812,67
Gilliam County,41021,1871,48
Washington County,08121,4814,117
Motley County,48345,1210,14
Sedgwick County,08115,2379,43
Nantucket County,25019,10172,1092
Lafayette County,55065,16836,286
Wilson County,37195,81234,10939
Nemaha County,20131,10178,338
Lafayette County,05073,7645,278
Kendall County,48259,33410,2096
Perry County,28111,12250,571
Brown County,31017,3145,206
Gray County,48179,22535,410
Oliver County,38065,1846,29
Fergus County,30027,11586,24
Putnam County,29171,4979,30
Hamilton County,17065,8457,61
Scott County,28123,28264,2119
Hancock County,13141,9429,421
Brule County,46015,5255,416
Hampton city,51650,137436,24756
Talbot County,13263,6865,422
Sullivan County,42113,6428,121
Glacier County,30035,13399,143
Beaver County,40007,5636,302
Mercer County,38057,8424,139
Habersham County,13137,43041,2621
Tama County,19171,17767,3364
Adams County,19003,4029,128
Ralls County,29173,10167,177
Brantley County,13025,18411,1221
Collingsworth County,48087,3057,90
Schley County,13249,5010,424
Elbert County,08039,23086,343
Kitsap County,53035,251133,18422
Cross County,05037,17870,576
Josephine County,41033,82713,2626
Sherman County,31163,3152,122
Norman County,27107,6852,255
Morris County,20127,5923,245
Spokane County,53063,471221,31028
Jennings County,18079,28525,4132
Shoshone County,16079,12765,135
Floyd County,19067,16303,668
Billings County,38007,783,66
Logan County,31113,763,68
Linn County,20107,9656,250
Ochiltree County,48357,10223,517
Montgomery County,36057,50219,4264
Knox County,48275,3719,185
Gentry County,29075,6738,228
Butte County,46019,10110,64
Pike County,18125,12845,214
Dallas County,29059,16777,146
Traverse County,27155,3558,236
Noble County,40103,11561,431
Daggett County,49009,1059,2894
Union County,45087,28961,4257
Monroe County,54063,13502,521
Dundy County,31057,2008,10
Torrance County,35057,16383,430
Woodson County,20207,3309,1196
Musselshell County,30065,4538,10
Tripp County,46123,5644,485
Hutchinson County,46067,7343,108
Miner County,46097,2389,106
Montgomery County,29139,12236,877
Pierce County,53053,795225,147369
Lake County,41037,7895,69
Franklin County,16041,12786,142
Sanders County,30089,11413,244
Hutchinson County,48233,22150,1125
George County,28039,22578,385
Bennett County,46007,3431,373
Steele County,38091,1975,122
Ellis County,40045,4151,132
Travis County,48453,1024266,260549
Taylor County,55119,20689,292
Calhoun County,05013,5368,350
Metcalfe County,21169,10099,543
Blaine County,40011,11943,687
Valley County,30105,7369,71
Scott County,05127,11233,395
Hancock County,47067,6819,10
Carroll County,29033,9295,627
Graham County,20065,2597,236
Pulaski County,29169,52274,9553
Lucas County,19117,8898,1584
